Experiment_ID,Adjacency_Type,Horizon,Region,MAE,RMSE,R2_Score,Pearson_Correlation
1,static,3,East of England,229.51048,361.37784,0.8217100794806811,0.9500735504664516
1,static,3,London,148.73756,153.09949,-163.3463897533178,0.15511793467560706
1,static,3,Midlands,143.59529,145.01149,-8.199125157298385,0.9184718480847299
1,static,3,North East and Yorkshire,138.70761,144.9507,-3.3840548407031177,0.9026941304569628
1,static,3,North West,115.1392,130.0296,0.9187812957252883,0.9946255046746453
1,static,3,South East,112.39971,118.62672,-67.6616393864797,0.6690444057811136
1,static,3,South West,139.72987,140.5639,-1428.3740094351747,0.22367912716617896
