Experiment_ID,Horizon,Region,MAE,RMSE,R2_Score,Pearson_Correlation
2,7,East of England,24395.09,46639.62,-0.2674606289759782,0.5631950671894187
2,7,London,880.81586,1032.2737,-68.88494771668547,-0.3930879602636639
2,7,Midlands,1678.6818,1901.1383,-10.314545331611509,0.16860952742503527
2,7,North East and Yorkshire,1464.3977,1991.3026,-7.257955777585755,-0.7774511191164005
2,7,North West,14122.833,14592.297,-16.548526951179532,-0.17754787448888498
2,7,South East,819.3337,994.21844,-1.7006417925629815,-0.24706496273653678
2,7,South West,737.76556,841.8814,-106.86247871933129,0.11089359958805299
