Experiment_ID,Model_Type,Region,MAE,MSE,R2_Score,Pearson_CC
1,TGT,East of England,704.04614,936071.44,-0.43539262,0.6414211841416324
1,TGT,London,544.038,365526.12,-3339.259,0.654257232766495
1,TGT,Midlands,469.92966,277851.06,-141.9591,0.746207371725663
1,TGT,North East and Yorkshire,430.62753,236960.67,-56.61998,0.7255783196033383
1,TGT,North West,688.1285,568569.56,-1.7552285,0.7516709917135282
1,TGT,South East,489.28348,308456.25,-1704.4048,0.5081720532436129
1,TGT,South West,554.1129,378535.4,-35194.457,0.7065654057440379
