Experiment_ID,Adjacency_Type,MAE,MSE,R2_Score,Pearson_CC
1,static,65.915016,19402.771,-8.163334409948886,0.8340015218940755
2,dynamic,91.778496,28831.314,-45.59718716418628,0.8102743469673938
3,hybrid,76.74734,24314.928,-14.3115468815315,0.8308507124534961
