Experiment_ID,Adjacency_Type,Horizon,Region,MAE,RMSE,R2_Score,Pearson_Correlation
9,hybrid,14,East of England,414.7856,697.5348,0.3210690467992763,0.82561252228215
9,hybrid,14,London,67.63325,81.36316,-44.91217705771754,0.13525489776503086
9,hybrid,14,Midlands,43.147175,48.6259,-0.07263567692317996,0.8602367683518152
9,hybrid,14,North East and Yorkshire,79.481026,89.55607,-0.6950027881102732,0.826313986656163
9,hybrid,14,North West,157.14297,208.40477,0.7962236104348328,0.9584785994343703
9,hybrid,14,South East,74.49821,90.87263,-38.97499242240319,0.2807894088339792
9,hybrid,14,South West,62.230984,66.28004,-324.95387871719595,0.166969578359534
