areaName,epiweek,new_confirmed,new_deceased,newAdmissions,hospitalCases,covidOccupiedMVBeds,latitude,longitude
South West,42,46177.0,105.0,906,4669.0,513.0,50.8112,-3.63343
South West,43,39194.0,124.0,1033,5842.0,575.0,50.8112,-3.63343
South West,44,33547.0,157.0,1158,7167.0,723.0,50.8112,-3.63343
South West,45,38089.0,156.0,1313,7927.0,829.0,50.8112,-3.63343
South West,46,41661.0,186.0,1393,9416.0,848.0,50.8112,-3.63343
South West,47,37946.0,252.0,1352,10760.0,853.0,50.8112,-3.63343
South West,48,39172.0,261.0,1272,10892.0,848.0,50.8112,-3.63343
South West,49,36159.0,249.0,1188,10553.0,849.0,50.8112,-3.63343
South West,50,44675.0,256.0,1283,10181.0,804.0,50.8112,-3.63343
South West,51,60035.0,237.0,1336,10548.0,757.0,50.8112,-3.63343
South West,52,87600.0,264.0,1671,11856.0,817.0,50.8112,-3.63343
South West,53,19868.0,222.0,1125,8063.0,463.0,50.8112,-3.63343
